Date;Open;High;Low;Close;Volume
06/04/2020;25.800;25.825;25.015;25.645;8638999
03/04/2020;25.595;25.700;24.505;24.735;6957628
02/04/2020;26.050;26.675;25.200;26.045;5921150
01/04/2020;26.700;26.900;25.820;25.870;8110217
31/03/2020;28.500;28.840;26.955;27.510;8373353
30/03/2020;29.390;29.495;27.030;28.250;6719180
27/03/2020;30.180;30.740;28.930;29.875;6383577
26/03/2020;29.205;31.070;28.805;30.980;7408851
25/03/2020;28.900;30.155;28.000;30.000;10369508
24/03/2020;27.500;27.780;26.135;27.780;10496527
23/03/2020;25.900;26.900;25.150;25.425;10576950
20/03/2020;28.000;28.895;27.185;27.440;12822483
19/03/2020;27.560;28.015;25.100;27.185;8956394
18/03/2020;28.270;28.745;26.310;26.400;9362461
17/03/2020;28.785;29.420;26.070;29.200;9688197
16/03/2020;29.560;30.445;26.475;27.440;12726489
13/03/2020;32.360;34.985;31.075;31.730;11707060
12/03/2020;33.115;34.205;30.475;31.000;19034340
11/03/2020;35.300;36.920;34.865;35.660;9873471
10/03/2020;34.525;37.285;33.735;34.630;15219866
09/03/2020;34.250;35.730;33.785;33.785;15285280
06/03/2020;39.505;39.925;37.885;38.515;10830096
05/03/2020;42.580;42.760;40.060;40.515;9912621
04/03/2020;42.900;43.070;42.000;42.250;8378905
03/03/2020;44.895;44.895;42.375;42.810;10183476
02/03/2020;44.650;44.655;41.860;43.455;9760643
28/02/2020;43.650;44.240;42.550;43.785;11414189
27/02/2020;47.255;47.255;44.925;45.385;12715472
26/02/2020;48.200;48.490;47.105;48.215;9987467
25/02/2020;51.490;51.500;48.700;48.700;9064145
24/02/2020;51.650;52.020;50.960;51.200;8375558
21/02/2020;53.000;53.440;52.720;53.220;4704745
20/02/2020;53.610;53.880;53.090;53.260;3453029
19/02/2020;53.930;54.080;53.560;53.750;2736048
18/02/2020;53.820;54.030;53.620;53.670;3238319
17/02/2020;53.790;54.220;53.690;54.180;2154079
14/02/2020;53.570;53.990;53.440;53.680;2896124
13/02/2020;53.320;53.580;52.790;53.570;3528208
12/02/2020;52.780;53.690;52.740;53.580;4311939
11/02/2020;52.180;52.780;51.900;52.730;3683036
10/02/2020;51.590;51.820;51.410;51.640;3595939
07/02/2020;50.450;51.830;50.260;51.830;4629252
06/02/2020;50.160;50.690;50.080;50.410;3883717
05/02/2020;49.350;50.200;48.815;49.610;3809870
04/02/2020;48.715;49.290;48.580;49.290;3725725
03/02/2020;48.110;48.735;47.910;48.340;3293745
31/01/2020;49.300;49.300;47.970;48.045;4461448
30/01/2020;48.800;49.195;48.455;48.890;3404856
29/01/2020;49.685;49.900;49.285;49.505;2413393
28/01/2020;49.110;49.705;48.545;49.420;3074687
27/01/2020;49.510;49.780;48.695;48.870;4716090
24/01/2020;50.670;50.750;49.850;49.910;3186013
23/01/2020;50.230;50.480;49.565;49.955;4186551
22/01/2020;50.250;50.580;49.900;50.080;2939696
21/01/2020;50.190;50.630;49.870;50.210;2847578
20/01/2020;50.690;50.780;50.380;50.490;1776051
17/01/2020;50.920;51.060;50.430;50.750;2954093
16/01/2020;51.000;51.340;50.220;50.590;3309337
15/01/2020;52.110;52.280;50.810;50.960;3230881
14/01/2020;52.090;52.300;51.260;52.170;3294787
13/01/2020;52.120;52.310;51.600;51.930;2858479
10/01/2020;52.470;52.610;52.010;52.160;2495036
09/01/2020;53.290;53.390;52.220;52.400;3207565
08/01/2020;52.270;53.020;52.010;52.780;2893097
07/01/2020;52.930;53.140;52.460;52.660;2022813
06/01/2020;52.040;52.700;51.640;52.680;2494787
03/01/2020;53.070;53.170;52.590;52.940;2535225
02/01/2020;53.200;54.000;53.180;53.580;2783637
31/12/2019;52.500;52.830;52.500;52.830;575796
30/12/2019;52.850;53.190;52.730;52.730;1669313
27/12/2019;52.990;53.360;52.890;52.970;2271522
24/12/2019;52.850;53.170;52.850;52.980;388283
23/12/2019;53.270;53.270;52.880;53.110;1851055
20/12/2019;53.400;53.810;53.360;53.560;8333270
19/12/2019;53.400;53.650;53.120;53.510;2821488
18/12/2019;52.900;53.370;52.830;53.270;3057803
17/12/2019;53.000;53.170;52.550;53.080;3446801
16/12/2019;52.420;53.260;52.370;53.200;3792646
13/12/2019;53.190;53.450;52.050;52.050;5879618
12/12/2019;50.450;51.940;50.330;51.650;4256173
11/12/2019;50.090;50.670;50.060;50.400;2340610
10/12/2019;50.610;50.610;49.765;50.270;3136032
09/12/2019;50.900;51.170;50.740;50.770;1993418
06/12/2019;50.450;51.080;50.190;50.940;2711269
05/12/2019;50.320;51.000;50.230;50.260;2271755
04/12/2019;49.450;50.520;49.400;50.290;3298077
03/12/2019;50.550;50.840;49.235;49.500;5119837
02/12/2019;51.180;51.720;50.220;50.350;4110104
29/11/2019;50.900;51.260;50.790;50.970;2845466
28/11/2019;51.270;51.280;50.970;51.040;2080929
27/11/2019;51.230;51.480;50.960;51.360;3352844
26/11/2019;51.470;51.590;50.930;51.030;3650049
25/11/2019;51.800;52.060;51.380;51.470;2484885
22/11/2019;51.650;52.240;51.400;51.550;3545780
21/11/2019;50.770;51.670;50.570;51.500;4602055
20/11/2019;50.300;51.100;49.950;51.100;4252294
19/11/2019;50.670;51.340;50.600;50.750;4169351
18/11/2019;50.700;51.070;49.930;50.590;3075990
15/11/2019;50.720;50.850;50.090;50.630;3512580
14/11/2019;50.140;50.440;49.790;50.340;3555313
13/11/2019;50.170;50.460;49.850;50.150;4460860
12/11/2019;50.710;50.950;50.390;50.870;3043497
11/11/2019;50.440;50.720;50.150;50.520;3619626
08/11/2019;51.050;51.330;50.510;50.710;4274211
07/11/2019;50.200;51.340;49.965;51.340;5337906
06/11/2019;49.745;50.720;49.630;49.870;6269566
05/11/2019;48.850;49.200;48.625;49.100;4266511
04/11/2019;47.715;48.740;47.695;48.450;4439139
01/11/2019;47.000;47.450;46.595;47.170;2703128
31/10/2019;47.350;47.350;46.145;46.810;4663137
30/10/2019;47.815;48.000;46.440;46.930;4571784
29/10/2019;47.935;48.130;47.560;48.000;3115183
28/10/2019;47.800;48.100;47.605;48.030;3076269
25/10/2019;47.875;47.960;46.965;47.690;2926910
24/10/2019;48.115;48.440;47.600;47.825;3648215
23/10/2019;47.390;48.085;47.200;47.955;3137790
22/10/2019;47.950;48.135;47.400;47.820;3140470
21/10/2019;47.205;48.290;47.045;47.810;4443601
18/10/2019;46.800;47.385;46.655;46.990;3820387
17/10/2019;46.920;48.065;46.725;46.980;5597116
16/10/2019;47.000;47.800;46.545;47.250;5422214
15/10/2019;45.800;47.040;45.270;47.040;6398827
14/10/2019;45.235;45.615;44.905;45.390;3088598
11/10/2019;44.050;45.750;43.955;45.750;6085966
10/10/2019;42.500;43.880;42.500;43.690;4577627
09/10/2019;42.280;42.820;42.125;42.490;3136562
08/10/2019;42.670;42.800;41.585;42.325;3386045
07/10/2019;42.090;42.750;41.760;42.615;2967087
04/10/2019;42.080;42.285;41.600;42.285;3336824
03/10/2019;42.555;42.755;41.625;42.115;4142726
02/10/2019;43.865;44.020;42.500;42.500;4696838
01/10/2019;44.900;45.070;43.965;44.040;3785352
30/09/2019;44.200;44.890;44.170;44.670;4395120
27/09/2019;43.905;44.440;43.705;44.190;3159342
26/09/2019;43.225;43.875;43.110;43.845;3078495
25/09/2019;43.415;43.640;42.460;43.510;4003795
24/09/2019;44.180;44.530;43.515;43.735;2733297
23/09/2019;45.035;45.160;43.660;44.010;4312905
20/09/2019;44.620;45.325;44.525;45.295;9208874
19/09/2019;44.240;44.755;43.935;44.750;4468022
18/09/2019;43.865;44.150;43.600;43.805;2945941
17/09/2019;44.250;44.505;43.625;43.875;3859422
16/09/2019;44.985;45.165;44.415;44.590;4044256
13/09/2019;44.725;45.595;44.560;45.355;5860313
12/09/2019;44.220;45.250;42.980;44.235;6068374
11/09/2019;44.910;45.345;44.125;44.300;5662797
10/09/2019;43.400;44.770;43.295;44.550;6611286
09/09/2019;42.565;43.745;42.565;43.710;4594619
06/09/2019;42.600;42.810;42.215;42.450;3808500
05/09/2019;41.430;42.700;41.270;42.460;5527222
04/09/2019;41.345;41.540;41.070;41.255;3034914
03/09/2019;41.000;41.230;40.505;40.845;2764850
02/09/2019;40.915;41.480;40.850;41.045;1754434
30/08/2019;41.015;41.440;40.790;41.035;3462891
29/08/2019;40.050;41.180;39.970;40.825;3868947
28/08/2019;40.250;40.435;39.975;40.200;2631387
27/08/2019;40.475;40.795;40.125;40.325;3523908
26/08/2019;40.170;40.825;40.110;40.550;3182399
23/08/2019;41.200;41.310;40.065;40.065;4349421
22/08/2019;40.585;41.335;40.455;40.940;4737444
21/08/2019;40.530;41.180;40.530;40.605;3217232
20/08/2019;40.575;40.825;40.200;40.530;3143537
19/08/2019;40.970;41.380;40.755;40.795;4790490
16/08/2019;39.630;40.700;39.020;40.610;11162513
15/08/2019;39.690;40.070;38.880;39.600;6567800
14/08/2019;40.020;40.100;39.065;39.320;6213252
13/08/2019;39.510;40.825;39.330;40.370;5868317
12/08/2019;40.475;40.685;39.550;39.665;3702719
09/08/2019;40.250;40.630;39.910;40.205;4683483
08/08/2019;40.605;41.065;39.970;40.745;4488858
07/08/2019;40.380;40.530;39.510;39.955;5194184
06/08/2019;40.500;40.930;40.150;40.270;3965535
05/08/2019;40.500;40.930;40.205;40.415;5035113
02/08/2019;41.620;41.760;40.775;41.150;7322716
01/08/2019;42.205;43.335;42.200;42.845;5001753
31/07/2019;42.895;43.190;42.180;42.180;6971094
30/07/2019;42.400;42.425;41.210;41.520;5814489
29/07/2019;42.820;42.995;42.495;42.655;2325130
26/07/2019;43.000;43.275;42.650;42.935;3031918
25/07/2019;43.170;44.600;42.485;42.990;6937725
24/07/2019;43.035;43.160;42.500;42.930;3236532
23/07/2019;42.290;43.230;42.200;42.925;4655604
22/07/2019;41.850;42.290;41.735;41.995;2467456
19/07/2019;42.530;42.780;41.785;41.995;4264946
18/07/2019;42.345;42.730;41.920;42.370;3300089
17/07/2019;43.025;43.105;42.355;42.520;3822487
16/07/2019;42.695;43.490;42.665;43.205;3437757
15/07/2019;42.655;43.035;42.380;42.840;3044777
12/07/2019;42.740;43.210;42.505;42.530;3180625
11/07/2019;42.815;42.815;42.160;42.570;3253301
10/07/2019;42.850;43.385;42.620;42.695;3198971
09/07/2019;42.805;42.855;42.050;42.575;3372644
08/07/2019;43.485;43.960;42.435;42.970;3939380
05/07/2019;43.340;43.860;42.880;43.405;4689974
04/07/2019;42.395;43.295;42.360;43.045;4421553
03/07/2019;41.800;42.705;41.535;42.570;3392086
02/07/2019;42.325;42.340;41.500;41.865;2896316
01/07/2019;42.395;42.730;41.960;42.085;3577651
28/06/2019;41.525;41.885;41.390;41.765;3743258
27/06/2019;41.510;42.025;41.430;41.445;3837909
26/06/2019;40.575;41.420;40.375;41.165;4226710
25/06/2019;40.300;40.570;39.920;40.460;3073195
24/06/2019;41.000;41.280;40.580;40.760;3396974
